,pmid,geneId,index,label
519,29321681,81651,F000013,1
520,29705291,13051,F000008,1
521,29705291,21803,F000008,1
522,29808617,12387,F000003,1
523,29808617,21803,F000003,1
524,29808617,17125;17129,F000003,1
525,29864939,2255,F000002,1
526,29864939,6422,F000002,1
527,29864939,1499,F000002,1
528,29864939,2255,F000002,1
529,29864939,6422,F000002,1
530,29864939,1499,F000002,1
531,29864939,2255,F000013,1
532,29864939,6422,F000013,1
533,30033638,14465,F000001,1
534,30218983,14173,F000020,1
535,30320452,1634,F000029,1
536,30593693,100358460,F000002,1
537,30593693,100008668,F000002,1
538,30593693,100356164,F000002,1
539,30953362,1499,F000002,1
540,30953362,6423,F000002,1
541,31100937,2252,F000003,1
542,31100937,5594,F000003,1
543,31100937,1499,F000002,1
544,31100937,596,F000003,1
545,31100937,207,F000003,1
546,31100937,1499,F000003,1
547,31203719,26413,F000029,1
548,31203719,26413,F000029,1
